Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4
6140231,398364,418232,1,1/4/2019,7:01,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Serious,Male,19,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6142035,407438,426457,1,1/4/2019,23:08,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,36,NO DATA,Vehicle or pillion passenger,Serious,Male,26,NO DATA,Vehicle or pillion passenger,Serious,Male,20,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6170291,409015,425004,1,1/7/2019,8:38,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight,Male,18,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6180214,409646,422315,1,1/8/2019,7:05,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,53,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6191021,407754,428825,1,1/9/2019,15:15,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,23,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61A0879,408793,425456,1,1/10/2019,14:24,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight,Female,64,Car,Vehicle or pillion passenger,Slight,Female,42,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61B0200,412455,425779,1,1/11/2019,5:5,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,47,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61B0239,411295,422179,1,1/11/2019,7,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,51,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known
61B0317,414107,424986,1,1/11/2019,8:26,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61C0968,399298,428044,1,1/12/2019,14:45,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,43,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61D1303,398423,414772,1,1/13/2019,17:35,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Vehicle or pillion passenger,Slight,Female,47,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known
61D1457,416483,422141,1,1/13/2019,19:05,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,33,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61F1116,403161,416145,1,1/15/2019,15:3,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61F1443,408010,426215,1,1/15/2019,18:07,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,40,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,52,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
61G1372,401594,426001,1,1/1/2019,16:3,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,75,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
